School ID,School Name,Borough,Building Code,Street Address,City,State,Zip Code,Latitude,Longitude,Phone Number,Start Time,End Time,Student Enrollment,Percent White,Percent Black,Percent Hispanic,Percent Asian,Average Score (SAT Math),Average Score (SAT Reading),Average Score (SAT Writing),Percent Tested,Average Score
03M402,Urban Assembly School for Green Careers,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-787-1189,8:30 AM,3:30 PM,353.0,2.8,23.2,72.0,1.1,393.0,371.0,378.0,60.0%,1142
03M417,Frank McCourt High School,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-362-2015,8:40 AM,3:00 PM,387.0,31.8,15.8,40.1,8.8,489.0,491.0,500.0,89.1%,1480
03M403,Global Learning Collaborative,Manhattan,M470,145 West 84th Street,Manhattan,NY,10024,40.78574,-73.97442,212-877-1103,8:30 AM,3:30 PM,496.0,5.4,25.0,66.3,2.4,406.0,407.0,413.0,59.4%,1226
03M415,Wadleigh Secondary School for the Performing and Visual Arts,Manhattan,M088,215 West 114th Street,Manhattan,NY,10026,40.80217,-73.95401,212-749-5800,8:00 AM,3:45 PM,445.0,1.0,52.0,44.2,1.8,381.0,401.0,392.0,52.6%,1174
03M860,Frederick Douglass Academy II Secondary School,Manhattan,M088,215 West 114th Street,Manhattan,NY,10026,40.80217,-73.95401,212-865-9260,8:00 AM,3:00 PM,411.0,1.9,67.8,26.3,2.2,390.0,384.0,373.0,63.8%,1147
05M362,Columbia Secondary School,Manhattan,M125,425 West 123rd Street,Manhattan,NY,10027,40.81092,-73.95693,212-666-1278,8:00 AM,4:00 PM,659.0,14.8,22.0,48.1,13.7,583.0,561.0,546.0,88.2%,1690
05M367,Academy for Social Action (College Board),Manhattan,M043,509 West 129th Street,Manhattan,NY,10027,40.81523,-73.9552,212-234-3102,8:35 AM,3:45 PM,234.0,2.8,46.5,49.3,0.5,357.0,349.0,365.0,54.0%,1071
05M369,Urban Assembly School for the Performing Arts,Manhattan,M043,509 West 129th Street,Manhattan,NY,10027,40.81523,-73.9552,212-234-4631,8:15 AM,3:15 PM,358.0,1.4,52.2,43.0,0.8,379.0,399.0,388.0,76.7%,1166
04M680,Heritage School,Manhattan,M107,1680 Lexington Avenue,Manhattan,NY,10029,40.79188,-73.94659,212-828-2858,8:30 AM,3:39 PM,322.0,1.9,32.3,63.7,1.2,385.0,380.0,370.0,56.8%,1135
04M555,Central Park East High School,Manhattan,M013,1573 Madison Avenue,Manhattan,NY,10029,40.79368,-73.94942,212-860-5929,8:30 AM,3:20 PM,466.0,3.9,24.5,63.3,7.3,483.0,468.0,439.0,97.9%,1390
04M495,Park East High School,Manhattan,M495,230 East 105th Street,Manhattan,NY,10029,40.79056,-73.94445,212-831-1517,8:45 AM,3:15 PM,413.0,1.7,27.6,63.7,4.8,429.0,433.0,435.0,89.6%,1297
04M610,Young Women's Leadership School,Manhattan,M895,105 East 106th Street,Manhattan,NY,10029,40.79271,-73.9473,212-289-7593,8:45 AM,3:15 PM,480.0,3.4,27.9,57.4,8.9,478.0,465.0,472.0,100.0%,1415
04M435,Manhattan Center for Science and Mathematics,Manhattan,M435,260 Pleasant Avenue,Manhattan,NY,10029,40.79374,-73.93408,212-876-4639,8:15 AM,2:40 PM,1603.0,4.2,20.9,54.1,19.2,556.0,505.0,495.0,87.6%,1556
05M304,Mott Hall High School,Manhattan,M136,6 Edgecombe Avenue,Manhattan,NY,10030,40.81736,-73.94771,212-694-6020,8:00 AM,3:30 PM,428.0,0.7,38.3,59.1,0.9,416.0,445.0,440.0,36.9%,1301
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,M970,200-214 West 135th Street,Manhattan,NY,10030,40.81536,-73.9439,212-283-8055,8:30 AM,3:00 PM,561.0,0.8,77.6,19.6,1.3,402.0,394.0,400.0,84.7%,1196
05M692,"High School for Mathematics, Science, and Engineering at City College",Manhattan,M812,240 Convent Avenue,Manhattan,NY,10031,40.82112,-73.94885,212-281-6490,8:00 AM,3:35 PM,470.0,26.8,9.6,21.7,38.5,683.0,610.0,596.0,92.6%,1889
06M540,A. Philip Randolph Campus High School,Manhattan,M540,443 West 135th Street,Manhattan,NY,10031,40.81832,-73.95061,212-926-0113,8:00 AM,2:20 PM,1354.0,1.7,32.0,59.7,4.9,459.0,453.0,447.0,74.0%,1359
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,M876,501 West 165th Street,Manhattan,NY,10032,40.83803,-73.93837,212-928-1202,8:00 AM,3:30 PM,504.0,0.0,0.0,100.0,0.0,383.0,355.0,352.0,71.0%,1090
06M346,Community Health Academy of the Heights,Manhattan,M814,504 West 158th Street,Manhattan,NY,10032,40.83356,-73.9418,212-342-6600,8:15 AM,3:00 PM,629.0,2.7,4.9,91.8,0.0,387.0,389.0,385.0,55.3%,1161
06M348,Washington Heights Expeditionary Learning School,Manhattan,M143,511 West 182nd Street,Manhattan,NY,10033,40.84888,-73.93081,212-781-0524,8:00 AM,3:00 PM,705.0,0.5,3.8,94.8,0.3,443.0,423.0,434.0,87.0%,1300
04M409,Coalition School for Social Change,Manhattan,M045,2351 1st Avenue,Manhattan,NY,10035,40.79887,-73.93337,212-831-5153,8:45 AM,3:30 PM,283.0,3.5,41.0,50.2,4.2,344.0,368.0,367.0,40.5%,1079
02M531,Repertory Company High School for Theatre Arts,Manhattan,M896,123 West 43rd Street,Manhattan,NY,10036,40.75594,-73.98457,212-382-1875,8:15 AM,3:30 PM,246.0,8.5,37.4,50.4,1.6,425.0,451.0,458.0,89.5%,1334
02M408,Professional Performing Arts High School,Manhattan,M017,328 West 48th Street,Manhattan,NY,10036,40.76143,-73.98802,212-247-8652,8:15 AM,3:30 PM,536.0,42.9,26.2,22.3,2.5,496.0,520.0,516.0,72.2%,1532
02M529,Jacqueline Kennedy Onassis High School,Manhattan,M486,120 West 46th Street,Manhattan,NY,10036,40.75776,-73.98319,212-391-0041,8:00 AM,3:00 PM,676.0,3.6,21.3,70.1,4.0,418.0,422.0,415.0,53.8%,1255
02M520,Murry Bergtraum High School for Business Careers,Manhattan,M520,411 Pearl Street,Manhattan,NY,10038,40.71068,-74.00081,212-964-9610,8:00 AM,3:00 PM,971.0,3.0,46.1,40.7,8.9,418.0,415.0,398.0,44.3%,1231
05M499,Frederick Douglass Academy,Manhattan,M010,2581 7th Avenue,Manhattan,NY,10039,40.82431,-73.93698,212-491-4107,8:00 AM,3:00 PM,1428.0,1.4,70.4,23.2,1.7,463.0,452.0,450.0,65.1%,1365
06M463,High School for Media and Communications,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,8:00 AM,3:45 PM,479.0,1.3,13.8,82.5,1.9,378.0,381.0,383.0,33.0%,1142
06M462,College Academy,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,8:00 AM,3:45 PM,491.0,0.6,9.0,89.2,0.2,367.0,377.0,363.0,41.9%,1107
06M467,High School for Law and Public Service,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-342-6130,8:00 AM,3:45 PM,671.0,1.6,16.8,80.8,0.4,401.0,394.0,381.0,44.1%,1176
06M293,City College Academy of the Arts,Manhattan,M218,4600 Broadway,Manhattan,NY,10040,40.86111,-73.93045,212-567-3164,8:15 AM,4:00 PM,587.0,1.2,3.8,94.1,0.9,495.0,445.0,450.0,95.3%,1390
06M468,High School for Health Careers and Sciences,Manhattan,M465,549 Audubon Avenue,Manhattan,NY,10040,40.85594,-73.92703,212-927-1841,8:00 AM,3:45 PM,605.0,1.5,15.9,79.8,1.3,374.0,385.0,389.0,56.2%,1148
02M459,Manhattan International High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-517-6728,8:45 AM,3:05 PM,343.0,12.2,16.6,41.1,29.4,438.0,358.0,382.0,58.6%,1178
02M519,Talent Unlimited High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-737-1530,8:10 AM,3:20 PM,506.0,20.4,33.4,39.9,4.9,485.0,498.0,496.0,89.3%,1479
02M449,Vanguard High School,Manhattan,M480,317 East 67th Street,Manhattan,NY,10065,40.76545,-73.96021,212-517-5175,8:00 AM,3:00 PM,486.0,4.7,27.4,57.0,7.6,431.0,409.0,396.0,63.8%,1236
02M655,Life Sciences Secondary School,Manhattan,M645,320 East 96th Street,Manhattan,NY,10128,40.78364,-73.94574,212-348-1694,8:00 AM,3:00 PM,697.0,3.2,28.3,62.2,4.3,435.0,440.0,425.0,63.0%,1300
02M475,Stuyvesant High School,Manhattan,M477,345 Chambers Street,Manhattan,NY,10282,40.71775,-74.01405,212-312-4800,8:00 AM,3:30 PM,3296.0,20.4,0.8,2.6,73.4,754.0,697.0,693.0,97.4%,2144
31R600,Ralph R. McKee Career and Technical Education High School,Staten Island,R600,290 St Marks Place,Staten Island,NY,10301,40.64274,-74.07871,718-420-2600,8:00 AM,3:00 PM,624.0,19.7,30.8,42.5,4.8,420.0,429.0,409.0,38.0%,1258
31R080,Michael J. Petrides School,Staten Island,R880,715 Ocean Terrace,Staten Island,NY,10301,40.60745,-74.10148,718-815-0186,8:00 AM,2:20 PM,1327.0,49.8,22.3,20.2,6.9,483.0,473.0,470.0,79.2%,1426
31R450,Curtis High School,Staten Island,R450,105 Hamilton Avenue,Staten Island,NY,10301,40.64474,-74.08134,718-390-1800,9:00 AM,3:30 PM,2499.0,17.7,38.4,36.0,7.1,453.0,458.0,444.0,64.2%,1355
31R445,Port Richmond High School,Staten Island,R445,85 St Josephs Avenue,Staten Island,NY,10302,40.63384,-74.14211,718-420-2100,8:00 AM,2:45 PM,1628.0,21.7,27.9,42.8,7.0,432.0,427.0,425.0,44.6%,1284
31R605,Staten Island Technical High School,Staten Island,R440,485 Clawson Street,Staten Island,NY,10306,40.56791,-74.11536,718-667-3222,7:45 AM,2:30 PM,1247.0,52.2,1.0,5.2,41.1,711.0,660.0,670.0,99.7%,2041
31R440,New Dorp High School,Staten Island,R435,465 New Dorp Lane,Staten Island,NY,10306,40.56918,-74.1073,718-667-8686,8:05 AM,3:10 PM,2791.0,51.8,12.1,27.8,7.5,454.0,446.0,444.0,63.7%,1344
31R455,Tottenville High School,Staten Island,R455,100 Luten Avenue,Staten Island,NY,10312,40.52823,-74.19215,718-668-8800,8:00 AM,2:45 PM,3982.0,79.9,1.8,11.8,5.1,494.0,476.0,476.0,78.9%,1446
31R460,Susan E. Wagner High School,Staten Island,R460,1200 Manor Road,Staten Island,NY,10314,40.59865,-74.1231,718-698-4200,8:16 AM,3:00 PM,3363.0,47.7,10.9,27.0,13.4,496.0,490.0,487.0,66.3%,1473
31R064,Gaynor McCown Expeditionary Learning School,Staten Island,R043,100 Essex Drive,Staten Island,NY,10314,40.58202,-74.15785,718-370-6950,8:00 AM,2:20 PM,479.0,61.6,13.8,19.0,3.3,442.0,458.0,454.0,55.8%,1354
31R047,CSI High School for International Studies,Staten Island,R043,100 Essex Drive,Staten Island,NY,10314,40.58202,-74.15785,718-370-6900,7:30 AM,3:50 PM,520.0,55.6,8.8,19.8,11.2,477.0,468.0,464.0,83.5%,1409
07X547,New Explorers High School,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-4150,8:30 AM,3:30 PM,475.0,0.4,31.4,67.6,0.4,390.0,398.0,376.0,30.4%,1164
09X505,"Bronx School for Law, Government, and Justice",Bronx,X460,244 East 163rd Street,Bronx,NY,10451,40.82759,-73.91867,718-410-3430,8:15 AM,3:00 PM,778.0,1.0,23.1,72.0,2.2,403.0,409.0,415.0,63.8%,1227
07X548,Urban Assembly School for Careers in Sports,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-7110,8:25 AM,3:18 PM,587.0,1.4,28.6,69.5,0.2,402.0,405.0,395.0,55.5%,1202
07X527,Bronx Leadership Academy II High School,Bronx,X790,730 Concourse Village West,Bronx,NY,10451,40.82278,-73.92352,718-292-7171,8:30 AM,3:15 PM,495.0,0.8,32.3,63.4,2.2,384.0,355.0,361.0,61.3%,1100
07X551,Urban Assembly Bronx Academy of Letters,Bronx,X183,339 Morris Avenue,Bronx,NY,10451,40.81336,-73.92554,718-401-4891,8:00 AM,3:50 PM,591.0,1.5,30.4,66.9,0.9,398.0,400.0,405.0,57.8%,1203
07X670,Health Opportunities High School,Bronx,X884,350 Gerard Avenue,Bronx,NY,10451,40.81608,-73.93032,718-401-1826,8:15 AM,3:35 PM,554.0,1.8,36.1,57.9,3.1,374.0,386.0,382.0,57.9%,1142
07X427,Community School for Social Justice,Bronx,X884,350 Gerard Avenue,Bronx,NY,10451,40.81608,-73.93032,718-402-8481,8:30 AM,3:00 PM,324.0,1.2,29.6,67.3,1.5,380.0,382.0,362.0,38.4%,1124
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,X600,333 East 151st Street,Bronx,NY,10451,40.81825,-73.91974,718-993-5000,8:50 AM,3:00 PM,375.0,0.8,29.1,68.3,1.1,390.0,373.0,371.0,29.8%,1134
09X365,Academy for Language and Technology,Bronx,X082,1700 Macombs Road,Bronx,NY,10453,40.8491,-73.91609,718-731-0219,8:00 AM,4:00 PM,322.0,0.0,0.3,99.7,0.0,371.0,334.0,348.0,78.9%,1053
07X221,South Bronx Preparatory (College Board),Bronx,X149,360 East 145th Street,Bronx,NY,10454,40.81401,-73.92084,718-292-2211,8:00 AM,3:00 PM,654.0,1.4,25.2,70.3,1.7,419.0,414.0,394.0,76.9%,1227
07X334,International Community High School,Bronx,X139,345 Brook Avenue,Bronx,NY,10454,40.81004,-73.91781,718-665-4128,9:00 AM,4:00 PM,463.0,1.3,14.0,76.7,6.5,345.0,338.0,312.0,58.2%,995
07X500,Hostos-Lincoln Academy of Science,Bronx,X162,600 St Anns Avenue,Bronx,NY,10455,40.81496,-73.91252,718-402-5640,8:00 AM,2:30 PM,544.0,1.5,22.5,69.9,3.8,463.0,451.0,435.0,80.0%,1349
07X495,University Heights Secondary School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-292-0578,8:45 AM,3:00 PM,486.0,1.6,30.0,64.6,3.1,420.0,446.0,424.0,87.8%,1290
07X473,Mott Haven Village Preparatory High School,Bronx,X470,701 St Anns Avenue,Bronx,NY,10455,40.81817,-73.91109,718-402-0571,8:30 AM,3:00 PM,364.0,0.5,25.3,73.6,0.3,377.0,373.0,369.0,44.9%,1119
09X543,High School for Violin and Dance,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-842-0687,8:00 AM,3:00 PM,384.0,0.3,34.1,64.6,0.5,363.0,401.0,396.0,31.3%,1160
09X403,Bronx International High School,Bronx,X400,1110 Boston Road,Bronx,NY,10456,40.8276,-73.90448,718-620-1053,9:00 AM,3:45 PM,409.0,1.7,20.0,74.1,3.4,355.0,330.0,320.0,59.1%,1005
